Commit message,Class
had to modify the image drawer to use the imageobserver class as swing uses that to resize components,inline
refs moved tests to appropriate location supose filter model implemented first methods in filter which can be used in scanning mode git svn id a f b ba a ce b,move
extract helper methods to separate classes refactored towards composed method,extract
sc add userservice find string rename userservice finduserentity long userservice find long,rename
pipeline stuff moved to separate repository,push down
push the listiterator code down into the concrete implementation of abstracturlpager so as to clear up a small design flaw where the abstract class knew about the concrete class git svn id svn svn jbidwatcher com jbidwatcher trunk b acfa eb db b a a cd b e,push down
rename resourcedao to dao in genericserviceimpl,rename
rename methods hold convention to number signed off by christian lüthold,rename
myrimatch renamed to myrimatch,rename
modularized resourceframes fixed sprite auto bbox with alpha channel fixed uris with spaces extracted an instantiableresourceframe from resourceframe gamesettingsframe and gameinformationframe now extend resourceframe resourceframe now registers frames for resource kinds using a new factories interface and map if auto bbox is checked and transparent pixel is turned off it now does an alpha channel bounds check this is a bit more intensive but the larger the bounding box the faster this algorithm returns uris were being doubly decoded in the recent files list leading to getting converted into space causing the uri to fail it expects the improved the way uris are displayed in the recent files list recent files list now supports non file uris todo modularize resnode names currently it s assumed they can be set at tree population time with the lgm string i n methods which is not a valid assumption for say plugin added resnodes git svn id f f bc e be cd ,push down
moved tab and section keys up to erd wpage reordered and documented erd wpage,pull up
cf clean up refactor,extract
lots more work hg rename src editor inspections quickfixes abstractquickfix java src editor inspections quickfixes luafix java rename src lang psi luavisitor java src lang psi luaelementvisitor java rename src lang psi impl luablockimpl java src lang psi impl statements luablockstatementimpl java rename src lang psi luablock java src lang psi statements luablockstatement java,push down
utilsfile got some methods renamed to make more sense and uses fileutils forcedeleteonexit instead of file deleteonexit,rename
hama refactor graph package git svn id f bb ffa edef ,move
ttale pushing all as one commit,push down
pull getgroundstate up into abstractnetworkwayseg w o,pull up
refactor to make use of java nio also we now buffer i o to improve performance,extract
simplified websocketclient by using blocking instead of nonblocking channels,inline
imap rename test to reflect the actual test case,rename
add old constructor and move useasyncsend to amazonawssqsconnectoryfactory level,push down
working on fixing the wizardsplitdockstation,extract
remove jaxb git svn id cbddccc e a eb be d e b d ,pull up
renamed mapping to mappingmode,rename
automated g rollback of changelist reason for rollback breaks moduledependencytestcase tests and other weird things original change description extract the main bindingimpl factory implementation of providermethod into an abstract base class this is a prefactoring for moving multibinders into the core all the multibinder factories will share a lot in common with providermethods they are providerinstancebindings the providers implement providerwithextensions the usersuppliedprovider is a bit of a misnomer so we provide a standard implementation this also removes the providerlookups from every providermethod which were pr created by moe moe migrated revid ,move
refactoring in preparation of hotspots for yellow count,move
inlined deprecated viewfetcher getcurrent methods in favour of viewfetcher getcurrentviews class,inline
refactored merged cifs telnet and cifs winrm support moved cifs code to abstract class cifsconnection and made cifstelnetconnection and cifswinrmconnection subclasses of that class moved winrm support to com xebialabs overthere cifs winrm package and subpackages introduced cifsconnectionbuilder and cifsconnectiontype so that one protocol cifs can be used together with cifsconnectiontype to make all cifs telnet and cifs winrm connections made connectionoptions get throw illegalargumentexception if a connection option has no value and introduced getoptional to be used when a connection option is optional some minor code cleanup here and there,move
new visitor interfaces some api changes and docs keeping classgen synchronized with method fields structure now,inline
pull request post fixes changed the hierarchy of checkoutaction in order to better accomodate incoming changes minor nitpick here and there,push down
rework compiler stack into top level program function basic block compilers and low level chunking strategies optimized compilers,push down
chore further improve gc performance in coreshader replace all uses of prefix argument concatenation in coreshader with corelogger and or coregl checkglerror calls corelogger optimizations add setloggingprefix getloggingprefix methods for automating a preset line prefix for a logger instance reduce varargs pollution by making use of varargs methods conditional the varargs log methods as well as checkglerror messages are now overloaded with non varargs methods so runtime intensive code like the setuniform methods in coreshader that doesn t need to use the argument processing can log messages directly instead this significantly reduces varargs pollution by eliminating needless creation of empty object objects by the jvm when making simple checkglerror or other log calls to coregl corelogger update coregl implementations to support overloaded checkglerror methods with no varargs see for related discussion on this issue,inline
hv removing remaining switches on java version,pull up
check method s parameters move compilationunit to containermanager,move
code clean renamed some package private methods git svn id f bb ffa edef ,push down
renamed updateasscommand assmetadatatemplate,rename
fixing so that untilpass can be renamed to until,rename
refactoring and specific retrieval for oracle indexes change id i c ab be cb ff ffb c e f signed off by stéphane thibaudeau,inline
modelcontext getdefaultlanguage added,extract
comment and simplift the component painting function this let me add new features where they needed to go because the code became more comprehensible add a dotted square box around the thumbnail icon looks slick imo,extract
faces develop aui body component extend generated base class for consistency,pull up
make adding metadata fields in searchresult optional,extract
rm abstract class and move all code into the only implementing class,move
removed reduntant part of all s functions to class s function,pull up
o refactoring move method git svn id f bb ffa edef ,move
refactor query model git svn id media reference trunk f b f cced dd a afbefa e e,pull up
redesign bucketer system for multiple buckets per dimension this supports use cases like tags where a single cube input might have several tags associated with it in a single dimension you could get then get counts by looking up individual tags,pull up
sush ashish added integreation test for campaign message service also fixed request validators,push down
move sendpdulength receivepdulength maxopsinvoked maxopsperformed packpdv from applicationentity to connection replace connection dimsersptimeout by cstorersptimeout cfindrsptimeout cechorsptimeout neventreportrsptimeout ngetrsptimeout nsetrsptimeout nactionrsptimeout ncreatersptimeout ndeletersptimeout rename association nevent to neventreport,inline
sc qcadoo early detection for hooks inconsistency extracted view hooks class hierarchy to improve type safety remove unnecessary componentcustomevent class,push down
make sure blockwise change command edits all lines the changeoperation would try to detect if the invoking mode is blockwise visual by checking if a selection was passed in and the last selection was blockwise after db f ef cf d f this detection got broken but it s actually far simpler to remove this detection and make blockwise visual mode call the right operation in the first place fixes ,push down
saveaspage refactoring,push down
fixing a bunch of jms compliance issues,push down
initial version of granular uploads refactor for simplicity speed the interfaces involved have been duplicated so there is a standard and a granular version of each the nitro classes have then been moved across to the new granular interfaces as have the various controllers and other shared classes testing still needs improving,move
add continue support for server and client,extract
complete got rid of code generating code in ast classes all code moved to jscodegenerator,move
aesh settings is now an interface settingsbuilder should now be the default way of creating a settings object,push down
refactor hdmap configuration add shaders perspectives,push down
add webdav plugin changes,push down
bug fixes after merge new datastore tests changed reasoner to be a groundkernelstore that can do optimization and fixed admm,inline
move getentries to abstractvector git svn id f bb ffa edef ,pull up
simplifying the matlab controller only to work on the local machine the implementation works in the debug mode but not when deployed the problem seems to be the packaging for some reason my eclipse does not want ot build an unpacked plugin then in the jar file the hashmaputils m are not accessible moving the code from matlabclient to the respective nodes improving the sintleton implementation of the matlabcontroller now matlabconnector,inline
created planeroadmodel,push down
moved attributes to clearcase,pull up
refactor the cli module,push down
movemes from erdirecttoweb erd wfactory adding mycheckrules fixing bad eomodelgroup,move
cleanup expandablefield keep charge getreview charge setreview backwards compatible,extract
renamed comparator to matcher in cases where it s matching and not comparing,rename
inline meter tick nothing else uses it,inline
make touch methods up to date update tests move timeout to messageoptions,pull up
bunch of methods pulled up,pull up
nutch html redirections are not followed when using parse tika extract meta refresh redirects from dom tree normalized by tika add unit test to check whether meta refresh redirects are extracted and parse status holds the redirect target,extract
remove i prefix from interface names,push down
updated core tests that use datasourceprocessor to use datasourceattribute one of the changes required was to change createmappages to provide datasourceattribute as output instead of iterable,extract
big refactoring added ioprocessor a thin layer which is similar to the reactor pattern renamed abstractiofilterchain to defaultiofilterchain because of the abstract methods of abstractiofilterchain are now moved to ioprocessor interface moved common parts of various iofilterchain implementations to defaultiofilterchain removed other unnecessary iofilterchain implementations added iosession getprocessor so that defaultiofilterchain can access the associated ioprocessor extracted interface from serialsession and all the implementation goes to serialsessionimpl git svn id f bb ffa edef ,move
extracted majority of caching implementation to timedcache class which can be extended for different stores might be good to move the store part to use composition in future,pull up
move methods in test classes,push down
refactoring move to a helper method that has nothing to do with the report generation to a helper class git svn id f bb ffa edef ,move
rework test and rename it to testgetepisodetitle the old test testdownloadandrename didn t do any renaming so ironically it s being renamed what it does is lookup a show by its name and once that s done look up an episode by its season and episode numbers it also used to parse a filename to extract those pieces of information but that was redundant that s exactly what the method testparsefilename does and testparsefilename does it better so eliminate the redundancy instead of having it re parse the file name we now just use the values already provided for show name season and episode this allows us to eliminate the filename and the expected resolution from the input as they are irrelevant for this test,rename
jcbc add tracing to counter motivation this changeset adds tracing to the counter operation change id i ff e f d a ac d f e reviewed on tested by build bot reviewed by david nault,extract
nutch refactor linkdb and linkdbmerger to reuse code,move
issue abstrahierung des createsearchgeometrylistener fuer allgemeine geom suche,push down
revert unchecked changes added facility to configure the csv export the same way adding it at the v version of the module only difference reconstruction of the configuration file in cmscsvexportbean java is adjusted details added csv export configuration facility renamed cmscvsexportbean to cmscsvexportbean and adjusted calls refactored cmscsvexportbean this reverts commit a a e cfaaa d b dd d c d fb,inline
tfj retire extendeduser and userwithstatus git svn id b e d d ab bb d b,pull up
moved shares to transaction super class,pull up
renamed method around binding serialization for console strings,rename
improved even stacks optimized removed magic numbers for x crafting support account for damage values,inline
jvstm lf rename remote read write set to simple read write set,rename
surefire more refactoring and hopefully fix build on sonatype grid git svn id f bb ffa edef ,push down
big refactoring because of space is now dependent on ode system changed schema for space xml files updated ode system interface,push down
some refactorings in the translator moved duplicated code to super class,pull up
refactored how server requests were built now requests may contain other requests but the parameter mapping is only done in the main request and may optionally be ignored in sub requests,extract
rework into an autoclosable allow callers to simply use a try with resources around the measured code,inline
rework protocol assignments,inline
remove non filled bar chart style rename some methods,rename
use calendar for dates and remove unused account sid,inline
fixed resourcemenu lots of other minor fixes resnode added an icon field to allow listening for icon changes also means scaled image is cached added tree structure change listening code added a contains method to recursively look for a node with a given id mdiframe added a copyright notice colorselect added getter and setter for selected colour changed constructor for convenience gmmenu copied copyright notice from gmmenubar to here gmmenu was an inner class in an earlier revision gmtreegraphics moved to the top level of the components package it is in fact a component modified to use the icon field in resnode resourcemenu modified to update on changes resourcemenuitem listens on its individual node for text and icon changes menu listens for structure changes and rebuilds itself not the most efficient method jedit package dnc lgm externalised the frame title string listener modified to use the externalised title string argument modified to use colorselect for colour arguments sprite made subimages public removed unecessary methods removed a dependency on a non existant external image soundframe fixed the arguments to the constructor of indexbuttongroup checkstyle xml disabled the switch statement default clause check git svn id f f bc e be cd ,move
refactor scope updater to share common put methods with other executors,pull up
bdbje updates refactoring commons pom xml classpath update to bdb je bdbmodule java getstoredqueue added getstoredmap made more general opendatabase all databases now managed tempstoredsortedmap java disposablestoredsortedmap java renamed statisticstracker java report java use new name storedqueue java storedqueuetest java move to org archive bdb package bdbmultipleworkqueues java prefixfindertest java update for bdb je changes bdbfrontier java use getstoredqueue drop unneeded custom serialization support workqueuefrontier java drop unneeded custom serialization support,move
added bugfix nsmutablearray had limited testing so far someone please add the javadocs removed the list methods from erxmutabearray they are now in the superclass,pull up
keep parser in line with wycats handlebars emulate the refactor performed in this will help simplify porting future changes in wycats handlebars,extract
added push down predicates to the core api and supporting classes for those graph database that don t support this notion the vertex api has changed,push down
renamed method getlength in updatemessage to be getlengthofreplacedtext getlength is ambiguous and could be thought of as returning the length of insertion operations,rename
general bug hunt no point listing more work on having only one actionfactory dont need tool tips on top level menus finished making bookdatadisplay the central interface for viewing bookdata menubar tidy up unfinished moving of list blur delete options to be list buttons much clearer cancel button on progress bar from dms search make moses aaron do moses aaron search general tidyup,inline
added polygon d and polyline d shape objects booleanmask d added methods for merge operation add booleanmask d exclusiveadd booleanmask d intersect booleanmask d subtract booleanmask d roi added methods for merge operation mergewith roi op add roi exclusiveadd roi intersect roi subtract roi these methods allow faster merge operation of many roi by reducing the number of roi creation fixed default computenumberofpoints implementation roi darea added add exclusiveadd remove roi darea methods added add exclusiveadd remove booleanmask d methods some tweaks here and there roi dshape faster getbooleanmask d implementation help a lot for descriptor calculation roi dpath fixed contains and intersects implementation better merge roi implementation roi dpolyline now use the polyline d shape for a better and more accurate general implementation roi dpolygon now use the polygon d shape for a better and more accurate general implementation roiutil merge list op method should be faster now roi panel full implementation of the roi descriptor for customizable expandable roi information some fixes and improvements on default roi descriptors back to simple table presentation jxtreetable was not stable enough better columns selection setting separate columns selection for view and export improved table computation time fixed not boolean operation on d roi with fixed z t or c position loader fixed importer retrieval it was launching the plugin instead of just creating it saver removed interleaving data during save operation icybufferendimage fixed get setrawdata methods shapeutil added isclosed shape getopenpath shape getclosedpath shape methods merge list op should work better and faster union exclusiveunion intersection and subtraction operation should work better overlay add getattachedcanvas method to retrieve all canvas where the overlay is displayed array dutil added getinterleaveddata and deinterleave methods bytearrayconvert major rewrite fixed several bugs improved z t dimension swap operation fileutil added isdirectory string method pluginlauncher put create method in public as we may need it colorutil added mix color color ratio method minor fix in the way we handle layer removal operation many others fixes tweaks and cleanup,push down
simplify codegen and push filtering to caller,push down
fixed problem with vjournal popup,push down
removed the pointless user interface and fixed logging messages in controllerimpl,pull up
addition of ability to shutdown vms added to nimbus admin,extract
allow appkey for json requests to be provided with the input json string currently the appkey parameter is added to the json string when required by the requestexecutor this sometimes creates memory issues as it requires modifying the already generated large strings e g the json for the encoded image file of mb allow appkey parameter to be added by a service when creating the json string modify requestexecutor to add appkey when posting json requests only if the apply is not already present in the input json string move addappkeyvaluetojson method to the servicehelper to allow it be used by services,move
cleanup pushdown pullup and blackbox whitebox features and fix multipageeditor tab selections and navigation from content outline view,push down
moving away from hand coded components xml to those generated by plexus descriptor git svn id f bb ffa edef ,push down
fix import table with row and column annotations rename get set color to from to clipboard use display value when syncing colors,rename
added new server commands added command feedback for telnet the available commands are now ban stop restart kick save give unmute unban time setgroup setipgroup listips unwhitelist reload whitelist mute backup,extract
refactoring to separate big little endian stuff into classes instead of switches,push down
tidied up exceptions in candidate service api renamed candidateforbiddenexception as candidateexception and candidateprivilege as candidateexceptionreason also update the names of the various reasons to make them clearer and added in some javadoc,rename
refactored parameters,move
drop the configroot interface this was intended to make resolve typesafe only allowed on root objects however in practice it was not safe because it was too easy to create aroot by merging a non root object into a root object to fix it we dhave to prohibit that root objects can only merge with other roots but it seems simpler to just document that resolving on subtreeswill do the wrong thing and hopefully it won t be an issue in practice,inline
minor changes,push down
rename methods,rename
support for loading schema and dataset based on cql removed dependencies from hector in cql related classes,pull up
integrated alex s patch sent to brett per alex for the cvs logs renamed public printelementcontent to outputelementcontent for consistency added padtext property to avoid trimtext changing the quick brown fox into the quickbrownfox which allows you to output browser friendly html even when using trimtext misc doc fix,rename
refactor oauth workflow now pass the shared secret through to the rest soap classes from each of the interfaces add the new auth methods to the authinterface class and remove the old methods implemented flickr auth oauth checktoken and flickr auth oauth getaccesstoken oauth tested and working with existing application,extract
extract setup for materializepull out the setup method for doing a materialize on a pcollectionre using it for in memory mapside joins,extract
refactoring add partitioningscheme,extract
move date parsing to instanceresource,pull up
refactored beandiffer tests,inline
refactored stringtoopentypeconverter in order to reduce complexity,pull up
renamed getinstance to newinstance git svn id research chemet trunk e a e c eb c a a ee ,rename
renamed group method selfadj to adjassign,rename
tool framework updated improving htestclitool htestanalysis htestcommands and derivates zcalc and oncoz working on xml persistence git svn id b f a e b ddf ,push down
transfer sponsors for new active amendment modifies bill processor code to transfer sponsors when the active amendment changes sponsors are already copied when an amendment is first created but this was not enough in cases where new amendments were not immediately published or previous amendments were restored as active a unit test was added to test co multi sponsor processing in these cases additionally some refactoring was done on bill processors consolidate xml and bill action parsing code because they parse actions in the same format reorganize xml billstat processor in an attempt to have a cleaner easier to understand workflow fixes ,pull up
initial work for refactoring the cov build command for compile sources,pull up
replaced the delete rename add style of prototype trickery with prototype flattening trickery the previous mechanism was running into strange problems with duplicate entity names and it did not support multiple database types using the same set of prototypes i e eojdbcfrontbaseprototypes eojdbcpostgresprototypes in the same app in the new system any model that declares and eoprototypeentityname either explicitly with wonder properties or with entity modeler will have its prototyped attributes flattened at runtime you can disable this behavior by setting er extensions erxmodelgroup flattenprototypes to false if you do this though you will lose all support for explicitly setting prototype entities and it will fall back to the stock behavior,rename
extracted validation exception refactored protected resource registration endpoint to use this format,extract
refactored beandiffer tests,move
refactoring to support view subclasses change id if be e f aab fa e afc cc ,pull up
extract configure method so we can override it in the application,extract
added processing options for the java client,extract
add flags to the tsquery class to show stats summaries and the original query with results also modify it to use the new tsdbquery compilation method,extract
refactor extract classes inputtest scriptedinputtest modularinputtest inputcrudtest portinputtest,push down
faces develop alloy inputtextarea component extend generated base class for consistency,pull up
msurefire clean up surefire move test ng battery git svn id f bb ffa edef ,move
develop alloy commandbutton component extend generated base class for consistency,pull up
sneha ashish changing obd campaign message request parameters to post,inline
alex ian roy removed incomingpaymentprocessor and moved dao access from tabcontroller to plugincontroller,inline
inline private method,inline
add tls support,extract
merged revisions via svnmerge from snapshot r redsolo on apr line added new files for ucm activity based change log r redsolo on apr line moved command lsactivity to cleartool r redsolo ti maj line move cleartool executable string into hudsoncleartoollauncher r redsolo ti maj line removed cleartool executable string away from cleartool implementations r redsolo ti maj lines applied path for ucmactivity and ucmhistorybuilder from henrik added outputformat and cleartoolformathandler to help with the clear tool formatting r redsolo to maj line clearcase plugin add ucm parsing of changelog xml patch from henrik r redsolo to maj line clearcase plugin add test for writing ucm changelog xml r redsolo to maj line clearcase plugin added changlogaction from henrik r redsolo to maj line clearcase plugin lshistory now returns reader instead of change logs r redsolo lö maj line clearcase plugin finished importing ucm changes from henrik r redsolo sö maj line clearcase plugin added patch to remove the view from ucm activity from henrik lynggaard r redsolo sö maj line clearcase plugin more test files r redsolo sö maj line clearcase plugin corrected tests for ucmchangelogaction r redsolo sö maj line clearcase plugin fixed failing tests for lshistory ct command r redsolo må maj line clearcase plugin fixed change log parsing for base and ucm scms r redsolo må maj line clearcase plugin fixed compile error and tests r redsolo må maj line clearcase plugin applied patch to remove the view from ucm activity r redsolo må maj line clearcase plugin applied patch to add sub activities to change log r lynggaard on maj line dummy change to test developer access r lynggaard on maj line clearcase plugin branch ucm changelog page converted to activity based changelog r lynggaard on maj line clearcase plugin branch preparations for ucm tagging support need to expose the mkbl cleartool command r redsolo to maj line clearcase plugin made get methods in ucm ucmactivity exported r lynggaard to maj line clearcase plugin branch build extended changelog changelog since last not failed build r lynggaard to maj line clearcase plugin branch lsactivity needs the viewname r lynggaard fr maj line clearcase plugin branch if the user writes stream as part of the stream name then strip it r lynggaard fr maj line clearcase plugin branch extra unittest to locate issue r lynggaard fr maj line clearcase plugin branch cleartool is particular about parameter ordering r lynggaard lö maj line clearcase plugin branch add tostring method for easy debug r lynggaard lö maj line clearcase plugin branch improve ucm specific changelog issue r lynggaard lö maj line clearcase plugin branch ensure changelog action is reset for extended changelog r lynggaard lö maj line clearcase plugin branch improve ucm changelog provide stream and user for sub activities r lynggaard lö maj line clearcase plugin branch remove seconds from ucm changelog r lynggaard sö maj line clearcase plugin branch fix tokenize issue on branch also r lynggaard sö maj line clearcase plugin branch improve ucm changelog page r lynggaard sö maj line clearcase plugin branch minor change to regexp generation r lynggaard sö maj line clearcase plugin branch new ucm fake cleartool setup r lynggaard sö maj line clearcase plugin branch re enable edittype icons in ucm r lynggaard sö maj line clearcase plugin branch lsactivity should be run from within the view r redsolo må maj line clearcase plugin move vob path handling out from lshistory into clearcasescm class fixed so load rules remove the and before they are used in the lshistory command r redsolo ti maj line clearcase plugin no need to quote the command line args as argumentlistbuilder already does it r redsolo ti maj line clearcase plugin fixed problem that was introduced in my refactoring for vob paths r redsolo ti maj line clearcase plugin added tests for getbranchnames r lynggaard on maj line clearcase plugin branch remove full username from changelog as we now rely on hudson users to display that r lynggaard on maj lines clearcase plugin branch defensive code to handle lshistory with empty activity names it appears that most version entries with empty activity names are version or mkbranch items this code is only there to catch it in case some real version has no activity however that should ideally never happen r lynggaard to maj line clearcase plugin branch add additional mkview documentation r lynggaard to maj line clearcase plugin branch small javadoc update r lynggaard to maj line clearcase plugin branch remove old extended changelog code as this is not the way we want to do it r redsolo to maj line clearcase plugin fixed so the changelog actions are adding the c comments to the lshistory format r redsolo to maj line clearacse plugin removed unused class git svn id c de d a be ed b c a,pull up
initial commit of rewritten table support and associated refactorings,push down
add jrebirth thread to improve,extract
o rearranged try catch and renamed a method,rename
removed the useless inner invokedtask interface and renamed the invokedtaskimpl to invokedtask git svn id f bb ffa edef ,pull up
df qcadoomes fixed problem with autocompletition renamed some methods added some tests,rename
rename to filter from matching,rename
removed includecategories option fixes ,inline
added new statsdtelegrafwriter to support jmx attributes as tags,extract
completed method type property descriptors and refactored them under a common class that can filter by optional package prefixes matching test cases for same updated typemap to catch errors new test cases updated classutil with new functionality for the new descriptors and restored lost indentation formatting git svn id baf d a c fc e d,pull up
even more performance issues fixed i do not guarantee there are no bugs in this build status of what else needs to be done will be assessed later on what has changed if every protection is inside of the cache it is safe to assume that any block not in the cache is not in the database we leverage this fact heavily in this build to give a significant boost to performance caches cache all the computations numerous caches have been added in various places where specific points of bad performance was located at these caches generally only store computationally expensive calls overall this is also significant after the caches are nice and toasty modules before lwc s own module system would broadcast events to every registered module this added a overhead of about k nanoseconds per module if they didn t override the method this has been changed to detect at runtime what methods they have overrided and then only send events to modules that have them overridden we could have modules register what events they use but this would break backwards compatibility with plugins that hook into lwc this uses reflection but is all done on startup so the overhead is minimal the gains is fairly large and worthwhile there is still a potential to shave off even more precious cpu cycles but this will be assessed further once initial results are in for scope here is some example values for events timing is in nanoseconds event before after redstone k k interact k k,extract
remove unecessary context check in connectionbase startread as it will always be called from executeio that already does it and inline it in handleread directly,inline
remove boolean parameter to hllp mergetemplist simplify the code it is best to always resize the temp set if it is too small,inline
another method rename,rename
feat implement coreinputlwjgl chore minor coreinput spi refactoring add coreinputlwjgl corekeyeventlwjgl coremouseeventlwjgl lwjglmouseeventdriver classes for implementing lwjgl input backend remove several unnecessary methods from coreinputevent corekeyevent and coremouseevent interface move enable disable default dispatcher methods to absractcoreinput add logging to coreinputjogl ran auto format on several incorrectly formatted source files,pull up
introduced b modulesfileflagsprovider,inline
revert replace test inheritance by rule this reverts commit c c e d bbbdf f be dd f b efe this commit has been moved into features refactoring tests,move
refactoring fix cursor close use oplog replay move mongoclientoptions in mongodbriverdefinition close cursor and mongo when river is deleted or stopped use queryoption oplogreplay to improve performance,move
further refactor of selectorparser,pull up
fixes for issue modified proxymap to separate many map related methods from proxy collection,push down
computation of original route moved to director git svn id f bb ffa edef ,move
bug label and activity equals two objects bug support bpmnlabel di elements bug label feature package is not exposed bug bpmn modeler usability look feel saving work still need to update subprocess and choreography tasks added a new appearance section for all baseelements which allows changing colors and line styles etc attributes are saved as extension elements,inline
purge references to block ids from most of the code block ids are going away in minecraft each block should be referenced by its name why block ids will of course still be used internally in the save files and network packets but to the outside world they re gone in the future minecraft will use dynamic ids everywhere grass doens t have to be id it could as well be id at the moment all vanilla blocks still have a static id mods on the other hand already use dynamic ids forge takes care of that when registering a block in forge it is unknown to the modder which id the block will get up until this commit terrain control still used block ids everywhere in the code this maked it a hassle for users of terrain control to find out what the id was of a modded block from now on modded blocks can just be referenced by their name breakdown most instances of int id int data have been replaced by localmaterialdata material localmaterialdata holds both the block and its data localmaterialdata is immutable so it can be easily shared to other classes localmaterialdata has two methods to create a new instance with different block data withblockdata data to change the block data to something else and rotate to automatically rotate the block data rotate uses the blockhelper class to achieve this as the local in the name suggests localmaterialdata is implemented by the bukkit and forge versions of terrain control you can use terraincontrol readmaterial string or terraincontrol tolocalmaterialdata defaultmaterial int blockdata a new class called materialset has been added this class replaces the various block list implementations we have seen so far in terrain control all block lists now have consistent behaviour you can now for example use solid or all in the sourceblocks in the resources of the biomeconfigs and in the blockchecks in bo s previously this was only possible in spawnonblocktype in bo s materialset will get a few improvements soon to let it work better with block data some places in the code still use the byte id arrays i m not sure at the moment what should happen with them however the ids in those arrays are dynamic now old configs ids in old configs will still be read defaultmaterial getmaterial int id continues to provide a block id lookup for the vanilla blocks even when all ids become dynamic in minecraft defaultmaterial will still use the old static ids to make sure that old worlds still load properly references html final note could anybody help testing this this commit is huge and i would be surprised if it didn t break at least four things,inline
add support for sharing local list and added the disabled binding similar to what wotextfield is doing,extract
nxcm moving method level upinitially i thought i ll need release to be runin the staging scenario but i realized this is notthe case closed staging repo is just fine as everythingelse,pull up
some code clean up removal of deprecations introductions of deprecations so uses of deprecations can be removed later,pull up
surefire add forkcount parameter making the inconsitent forkmode parameter deprecated all defaulting works as in the previous versions with the exception of reuseforks introduced in the last release it s now true by default forkcount supports c notation as in t of maven core,extract
refactoring of some author synonym handling components including making writeablesynonymmap abstract adding two subclasses for the different syntax behaviors started as a fix for but ballooned in scope a bit,push down
motivation currently the messageconsumer end handler is called only when consumer is unregistered during an event bus close when the consumer is explicitly unregistered it is not called this handler is mainly used by rxjava and kotlin coroutines and it seems it would be best to call the end handler in all case to give an opportunity to end the treatment in rxjava it would call the complete handler and in kotlin it would close the underlying channel so a for each iteration on the channel would terminate and execute the code after change call the messageconsumer end handler when the messageconsumer is unregistered explictly,inline
udt and ipv improvments,push down
added class to store window size position and state between sessions using prefsstore made lgm frame use this class renamed methods in util to follow code conventions and added two more methods fixed a bug which would prevent lgm frame from getting maximized at startup git svn id f f bc e be cd ,rename
initial taxonomy movement,move
add a checkbox that hide show non numeric excel headers,extract
refactor services and fix tests,move
getdeclaringtype moved up to be reused git svn id baf d a c fc e d,pull up
scenario add info about drag drop to policy when considering availability of drag drop actions via policy provide key value hints about which action is being employed this permits external plug ins to modify their behavior in special cases where normal move copy link rules are insufficiently descriptive this is needed for the scenario distribution where move and not link should be available when dragging activity type objects between repositories,move
refactor resource loading into method in parent for re use,move
sc qcadoo prioritization and data access refactoring,pull up
lib refactor configuration heavy update maps support,inline
optimize code for coverage column and add refactore unit test for coverage column,move
improved handshake classes initiated by eab a and c fb ,push down
wellsfargo external ids add concept of link transformers to be able to transform the consumerdb notation of external links into parseable lily links,extract
added a proxy configuration processor,extract
its own module,move
o refactoring move adapter methods from the xml parser class to its own class git svn id f bb ffa edef ,move
remove most xml related items and the entire internal web server concept,inline
added spout notifications for battle and match end as well as monument captures and tweaked the flag capture ones turns out chatcolors work great ootb with genericlabel yay the war message feed at top left notifications look awesome,extract
change reports sidebar to a html component with grouped links this opens up a creativity space towards better user interface for showing possible reports generators etc,inline
superbuilder tobuilder renamed generated static helper method,rename
adding api action interfaces,extract
fixed up headersmoved some bits to internalreduced log codeextracted replayprefixonecharinputstreamextraced stty detailsextracted shutdown hook details,extract
 editable working set name other fixes import working set name is now text control and can be changed by the user create working set is automatically enabled when importing single multi module project and disabled in other cases signed off by igor fedorenko,inline
lots of refactoring support for having multiple connections,move
added bugfix nsmutablearray had limited testing so far someone please add the javadocs removed the list methods from erxmutabearray they are now in the superclass,pull up
removed migrationrunnerstrategy method signature receiving integer inline method refactoring to orderedmigrationrunnerstrategy class,inline
coded mdi functionality and lots of other gui code gmltextarea leading spaces are converted to tabs tab width is set on initialisation added gettextcompat to convert newlines and tabs back for resave see prefs tabwidth see util convertindents string gmmenu extracted from gmmenubar to allow subclassinggmmenubar added window menugmtreegraphics background nodes are now shown correctly in the treemdimanager implemented resizedesktop mdimenu the window menu it updates when frames are added and removed and offers some common commands subclasses gmmenumdipane modified to call resizedesktop in certain cases added functions to close all etc vtexticon fixed a generics warninglgm mdi is now an instance of mdipane modified createtree to add a jtogglebutton for the eventframe reordered some gui initialisation code to work with the extra toolbar button overloaded makebutton for other kinds of abstractbuttonresource modified the arguments to copy there are now two versions modified subclasses to use the new arguments resourceframe added javadoc comments to some fields to clarify their purpose modified resourcechanged in all subclasses to compare against resoriginalscriptframe modified to use gmltextarea gettextcompat eventframe added support for the toggle buttoncheckstyle xml todo comments are now ignored eclipse already has better functionality for thatabstractbitmap removed a fixme commentgit svn id f f bc e be cd ,extract
removed duplicate customparams for tiledwms layer,push down
